Unnamed: 0,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
20726,55574,1,0,44,0,0,3306,2,2,2,2,5,4,4,4,4,4,4,3,4,5,0,0.0,satisfied
10051,128393,0,0,30,0,0,2979,2,4,4,4,2,2,2,2,4,1,4,1,4,2,0,0.0,neutral or dissatisfied
6749,120388,1,0,40,0,0,449,2,2,2,2,3,5,5,4,4,4,4,5,4,4,1,16.0,satisfied
21322,101141,0,0,50,0,0,1090,3,3,3,3,2,5,5,4,4,4,4,5,4,3,109,97.0,satisfied
3036,73555,1,0,58,0,0,2116,2,2,2,2,3,4,4,4,4,4,5,3,4,4,97,73.0,satisfied
8127,98501,1,1,41,0,0,402,5,5,5,3,2,5,2,2,3,4,4,5,4,2,76,95.0,satisfied
23206,110138,1,1,29,0,1,1048,2,3,3,4,5,3,5,5,4,5,3,4,3,5,0,11.0,neutral or dissatisfied
13872,8177,1,0,49,0,1,125,2,4,4,4,2,2,2,2,1,4,3,2,4,2,0,0.0,neutral or dissatisfied
1979,37106,0,0,56,0,1,1189,4,1,5,1,2,5,5,4,4,4,4,4,4,1,92,92.0,satisfied
5147,31861,1,0,31,0,1,2599,0,0,0,5,3,0,3,3,5,1,5,2,5,3,0,0.0,satisfied
12824,33591,1,0,42,0,1,474,5,4,4,4,5,5,5,5,5,2,3,2,2,5,3,0.0,satisfied
10161,67281,1,0,30,1,1,1119,3,4,3,4,2,3,2,2,3,3,4,1,4,2,0,0.0,neutral or dissatisfied
16347,113055,1,1,24,0,1,569,4,0,4,1,5,4,5,5,5,5,4,4,5,5,0,0.0,satisfied
13999,123029,0,0,30,0,0,1848,2,2,2,2,4,4,4,4,5,5,5,5,5,4,7,3.0,satisfied
1426,111415,1,0,27,1,1,1671,2,2,2,3,4,2,4,4,2,5,3,1,3,4,0,0.0,neutral or dissatisfied
6154,112739,0,0,59,0,0,723,5,5,5,5,2,5,4,4,4,4,4,3,4,4,7,0.0,satisfied
23383,13911,0,1,27,0,1,317,2,4,3,1,1,3,1,1,1,4,1,4,5,1,0,0.0,neutral or dissatisfied
3918,114585,0,1,45,0,0,446,2,2,2,1,4,2,4,4,3,2,5,5,5,4,0,0.0,satisfied
6108,121295,1,0,44,0,0,2067,3,3,3,3,5,4,4,2,2,2,2,5,2,5,0,6.0,satisfied
17583,9871,1,0,42,0,0,3968,3,5,5,5,3,4,4,3,3,3,3,2,3,4,0,8.0,neutral or dissatisfied
24933,29521,0,0,15,0,0,1009,1,1,1,1,4,4,4,4,5,5,2,5,3,4,0,1.0,satisfied
19198,108525,1,0,50,1,0,649,1,2,2,4,1,4,4,4,4,2,4,2,4,2,0,0.0,neutral or dissatisfied
22316,2932,0,0,37,1,1,806,2,4,2,1,2,2,2,2,2,3,5,2,5,2,0,0.0,neutral or dissatisfied
8954,63351,1,0,25,1,1,337,5,5,5,3,3,5,3,3,3,4,5,4,4,3,0,0.0,satisfied
13736,101656,1,1,29,0,0,2106,2,2,2,4,4,2,4,4,2,3,4,2,3,4,6,0.0,neutral or dissatisfied
15186,51259,1,0,63,0,2,110,4,4,4,4,4,4,4,4,3,1,4,5,3,4,0,0.0,satisfied
10866,123180,0,0,23,0,1,250,0,4,0,3,3,0,3,3,3,5,4,1,1,3,54,31.0,satisfied
345,35387,0,0,53,0,0,635,2,2,2,2,5,5,5,1,1,2,3,5,3,5,150,156.0,satisfied
24487,41943,0,0,47,0,0,3101,4,4,4,4,3,4,4,2,2,2,2,4,2,4,0,0.0,satisfied
16174,126946,0,0,48,0,0,621,1,1,4,1,5,5,5,1,1,2,1,5,1,5,0,0.0,satisfied
17996,119053,0,0,33,0,0,2279,3,4,4,4,3,4,3,3,3,3,3,3,3,4,0,0.0,neutral or dissatisfied
4997,24174,1,0,59,0,1,302,4,3,3,3,4,4,4,4,5,2,4,1,2,4,0,0.0,satisfied
1205,5183,1,0,50,0,0,2977,1,1,1,1,4,5,4,4,4,4,4,3,4,4,0,5.0,satisfied
8532,79537,1,1,24,0,1,762,4,5,5,4,4,5,4,4,5,5,5,4,4,4,0,0.0,satisfied
3596,74387,1,0,25,0,0,3243,3,3,3,3,5,5,5,5,4,2,4,4,5,5,0,0.0,satisfied
21142,32949,0,0,25,1,1,216,2,3,2,3,2,2,2,2,3,4,3,3,3,2,53,54.0,neutral or dissatisfied
19922,72680,0,0,9,1,1,1119,4,3,4,4,4,2,2,1,1,4,3,2,1,2,154,155.0,neutral or dissatisfied
19005,593,0,0,50,0,0,247,2,2,2,2,4,5,4,5,5,5,5,4,5,5,0,0.0,satisfied
13032,129779,1,0,37,1,1,421,4,5,4,2,3,4,4,3,3,3,3,2,4,3,0,0.0,satisfied
24685,13675,1,0,7,1,1,462,4,4,4,5,3,4,1,3,1,1,3,5,1,3,0,0.0,neutral or dissatisfied
13816,32003,0,0,42,1,0,101,3,4,3,2,5,3,5,4,4,3,4,5,4,2,0,0.0,neutral or dissatisfied
3521,21065,1,0,47,0,1,227,4,1,5,1,4,4,4,2,3,3,3,4,4,4,140,122.0,neutral or dissatisfied
8988,31154,0,0,40,0,0,495,4,4,4,4,1,5,1,2,2,2,2,5,2,2,70,75.0,satisfied
2366,122496,0,0,23,1,0,930,2,5,2,4,5,2,5,5,5,4,5,5,4,5,2,1.0,neutral or dissatisfied
20524,2789,0,0,35,0,0,765,3,3,2,3,2,3,4,3,3,3,3,1,3,4,0,21.0,neutral or dissatisfied
17921,108915,1,0,42,0,0,2583,4,3,3,3,4,4,4,3,2,3,4,4,2,4,257,241.0,neutral or dissatisfied
24856,17034,0,0,54,0,2,781,1,2,3,3,1,1,1,4,3,2,3,1,1,1,141,135.0,neutral or dissatisfied
5819,126246,1,0,61,0,1,200,5,1,1,1,4,5,4,4,2,2,2,4,2,4,0,0.0,satisfied
23444,124212,1,0,7,1,1,2176,1,4,0,4,5,0,5,5,5,3,5,4,4,5,71,38.0,neutral or dissatisfied
24852,23321,0,0,29,0,0,563,4,4,4,4,5,5,5,5,5,1,5,2,2,5,5,0.0,satisfied
25493,15030,0,0,57,0,0,1997,4,4,4,4,1,3,3,4,4,4,4,5,4,1,0,0.0,satisfied
18992,81358,0,0,54,1,1,1299,3,4,3,4,4,4,5,4,4,3,4,5,4,3,30,35.0,neutral or dissatisfied
15690,93835,1,1,24,0,1,391,2,5,2,4,4,2,4,4,1,4,2,2,3,4,19,51.0,neutral or dissatisfied
25404,65541,1,0,59,0,0,175,2,2,2,2,5,5,4,5,5,5,4,4,5,3,0,0.0,satisfied
5728,119877,0,0,44,1,1,936,1,5,1,2,4,4,5,3,3,1,3,4,3,3,0,0.0,neutral or dissatisfied
15047,109935,1,0,69,1,1,1052,1,4,1,4,5,1,2,5,3,4,5,3,4,5,70,58.0,neutral or dissatisfied
24879,129098,1,0,49,0,0,2069,4,4,4,4,5,1,4,5,5,4,5,2,5,4,23,4.0,satisfied
7097,6245,0,0,65,1,1,594,2,5,2,3,1,2,2,1,1,2,1,4,1,4,0,0.0,neutral or dissatisfied
20877,50286,1,0,33,0,0,1953,4,2,2,2,2,2,4,2,1,4,4,4,4,2,34,37.0,neutral or dissatisfied
19630,31445,1,0,44,0,2,1541,5,3,3,3,5,5,5,5,5,5,4,3,4,5,10,32.0,satisfied
3362,121617,1,0,53,1,1,1095,2,1,2,4,4,2,4,4,3,4,4,2,3,4,0,0.0,neutral or dissatisfied
19164,57770,0,1,28,0,1,2704,2,2,2,4,2,4,4,2,4,4,3,4,1,4,1,5.0,neutral or dissatisfied
22655,16255,0,1,29,0,1,748,5,5,5,2,2,5,3,2,3,3,2,2,4,2,0,0.0,satisfied
21135,101125,1,0,43,0,0,3744,3,1,3,3,1,3,3,3,3,3,3,2,3,2,45,43.0,neutral or dissatisfied
11833,106367,1,0,16,0,0,2984,3,4,5,4,3,3,3,3,1,3,4,3,3,3,0,0.0,neutral or dissatisfied
25304,74008,0,0,64,0,0,1471,1,1,1,1,2,5,5,5,5,5,5,4,5,3,0,0.0,satisfied
12956,2960,0,1,28,0,0,835,5,5,5,5,3,5,3,3,5,5,4,3,4,3,0,0.0,satisfied
9537,124040,0,0,50,0,0,1849,0,5,0,3,4,5,5,4,4,1,1,3,4,3,0,0.0,satisfied
6898,43947,1,0,55,0,1,408,2,3,3,3,3,2,3,3,2,1,3,3,4,3,0,0.0,satisfied
22344,85875,0,1,37,0,0,1267,5,0,0,5,4,0,4,4,3,5,5,3,4,4,0,0.0,satisfied
17886,46242,0,0,73,0,0,1648,4,3,3,3,2,2,2,4,4,4,4,4,4,1,1,0.0,neutral or dissatisfied
10852,34924,1,0,39,0,0,395,2,1,1,1,3,3,3,2,2,2,2,1,2,4,0,4.0,neutral or dissatisfied
6943,79728,1,0,44,1,1,760,3,1,3,3,2,3,2,2,2,4,3,1,3,2,0,0.0,neutral or dissatisfied
14933,97451,0,0,65,1,0,670,4,5,4,3,2,3,5,4,4,4,4,2,4,1,0,0.0,satisfied
17653,47503,1,0,47,1,1,590,3,1,2,3,1,2,1,1,3,1,3,2,4,1,0,0.0,neutral or dissatisfied
21863,72800,0,0,14,1,1,1045,3,1,3,3,5,3,5,5,3,3,3,4,3,5,5,0.0,neutral or dissatisfied
11053,111764,1,0,42,0,0,1436,5,5,5,5,3,5,4,4,4,4,4,4,4,3,8,0.0,satisfied
18051,79891,0,0,56,0,1,1080,2,4,4,4,1,4,3,3,3,2,3,3,3,4,6,0.0,neutral or dissatisfied
2332,117186,1,0,23,1,1,370,2,1,1,1,5,1,5,5,1,2,1,1,1,5,7,0.0,neutral or dissatisfied
17910,67944,1,0,10,1,1,1235,3,5,3,2,1,3,1,1,5,2,4,5,4,1,2,0.0,neutral or dissatisfied
25865,125619,1,0,51,1,0,814,3,0,3,2,2,5,4,1,1,3,1,4,1,5,0,0.0,neutral or dissatisfied
25649,4564,0,0,57,1,1,561,1,2,1,3,4,3,3,4,4,1,1,1,4,3,0,0.0,neutral or dissatisfied
22755,15020,0,0,16,1,1,557,1,5,1,1,2,1,2,2,4,2,2,3,5,2,6,9.0,neutral or dissatisfied
25435,36309,0,0,55,0,1,187,4,4,5,5,5,3,4,4,4,4,4,4,4,2,0,0.0,satisfied
4487,67725,0,0,25,0,0,2273,2,3,3,3,2,2,2,2,4,1,4,4,3,2,34,37.0,neutral or dissatisfied
17660,72859,1,0,29,0,0,700,2,4,4,4,2,2,2,2,2,4,3,1,3,2,3,8.0,neutral or dissatisfied
22882,15079,0,0,51,0,1,322,4,5,5,5,1,5,5,4,4,4,4,4,4,3,0,1.0,satisfied
3761,32498,0,0,44,0,0,3211,1,1,1,1,4,3,2,4,4,4,1,1,4,2,0,0.0,neutral or dissatisfied
23939,92532,1,0,64,1,1,1947,1,4,1,5,2,1,2,2,4,2,5,3,5,2,8,0.0,neutral or dissatisfied
4903,101337,0,0,46,1,1,1771,4,4,4,3,3,4,4,3,3,4,3,2,3,3,2,9.0,neutral or dissatisfied
13667,27294,1,0,27,0,0,1050,2,5,2,5,2,2,2,2,1,3,3,4,4,2,0,3.0,neutral or dissatisfied
24463,45322,1,0,17,0,1,188,5,5,3,5,5,5,5,5,3,5,2,4,5,5,0,0.0,satisfied
22828,121901,1,0,7,1,1,366,1,5,5,3,5,5,5,5,4,3,4,3,4,5,0,3.0,neutral or dissatisfied
25257,68132,0,0,63,1,1,813,0,3,0,3,4,2,3,1,1,0,1,3,1,2,0,0.0,satisfied
4434,127548,0,0,65,1,1,1009,2,5,2,2,4,4,4,3,3,2,3,4,3,4,0,14.0,neutral or dissatisfied
22734,100450,1,0,37,0,2,1180,1,2,2,2,1,1,1,1,4,5,2,4,2,1,11,4.0,neutral or dissatisfied
4598,96708,1,0,19,0,0,2971,2,2,2,2,4,4,4,4,4,4,5,3,4,4,0,0.0,satisfied
18676,25339,1,0,48,1,1,837,5,4,5,1,3,5,3,3,4,2,5,5,5,3,0,0.0,satisfied
19756,96809,0,1,45,0,1,849,3,4,4,3,1,4,1,1,4,3,4,2,4,1,7,3.0,neutral or dissatisfied
2741,129876,1,0,28,1,2,447,4,4,4,2,4,4,1,4,5,4,4,4,5,4,2,3.0,neutral or dissatisfied
